,BRAND,DOLS,CATEGORY
542,sibilia,6390.0,JEWELRY
543,signity,2250.0,JEWELRY
544,sindbad,9401.0,JEWELRY
545,skagen,5285.0,JEWELRY
546,skydin,72.0,JEWELRY
547,snbt,206.0,JEWELRY
548,soko,167692.0,JEWELRY
549,soleil,9401.0,JEWELRY
550,sollbergers,155.0,JEWELRY
551,solo,13356.0,JEWELRY
552,somers,80000.0,JEWELRY
553,somor,9401.0,JEWELRY
554,sorrelli,2244.0,JEWELRY
555,spark,790490.0,JEWELRY
556,spb,94010.0,JEWELRY
557,speechlust,695.0,JEWELRY
558,stauer,387214.0,JEWELRY
559,storm,,JEWELRY
560,stuller,726027.0,JEWELRY
561,swarovski,3165925.0,JEWELRY
562,swatch,162395.0,JEWELRY
563,sylvie,671858.0,JEWELRY
564,szor,746.0,JEWELRY
565,tacori,15610182.0,JEWELRY
566,taj,10579.0,JEWELRY
567,takat,229343.0,JEWELRY
568,takohl,161870.0,JEWELRY
569,tateossian,42000.0,JEWELRY
570,technaoro,11940.0,JEWELRY
571,teno,23182.0,JEWELRY
572,tenoara,,JEWELRY
573,thorsten,72867.0,JEWELRY
574,tiffany,21668461.0,JEWELRY
575,titanium,140663.0,JEWELRY
576,tous,1529108.0,JEWELRY
577,tribes,,JEWELRY
578,triton,47195.0,JEWELRY
579,tritonraw,2539.0,JEWELRY
580,trollbeads,28752.0,JEWELRY
581,twogether,5087.0,JEWELRY
582,unavelo,28203.0,JEWELRY
583,uneek,5705.0,JEWELRY
584,uni,6900.0,JEWELRY
585,valentino,320544.0,JEWELRY
586,valina,1069.0,JEWELRY
587,vantani,,JEWELRY
588,vendorafa,120405.0,JEWELRY
589,verdura,1172243.0,JEWELRY
590,verragio,323340.0,JEWELRY
591,versace,2727.0,JEWELRY
592,vhernier,1870751.0,JEWELRY
593,vicenza,18239.0,JEWELRY
594,victoria,4800.0,JEWELRY
595,vivaan,,JEWELRY
596,wanderer,8686.0,JEWELRY
597,wellendorff,4191.0,JEWELRY
598,wlc,9401.0,JEWELRY
599,wolf,4608.0,JEWELRY
600,ych,8462.0,JEWELRY
601,yvel,596520.0,JEWELRY
602,zanggarts,,JEWELRY
603,zeeba,5000.0,JEWELRY
