,BRAND,CATEGORY,DOLS
631,saxx,MEN_UNDERWEAR,60151.0
632,sheath,MEN_UNDERWEAR,6254.0
633,spanx,MEN_UNDERWEAR,123.0
634,stance,MEN_UNDERWEAR,4614.0
635,tani,MEN_UNDERWEAR,8712.0
636,ufm,MEN_UNDERWEAR,481.0
637,wolsey,MEN_UNDERWEAR,
638,aeroprecision,MILITARY,23507.0
639,airbus,MILITARY,45911.0
640,austal,MILITARY,9660.0
641,barracuda,MILITARY,1481.0
642,barrett,MILITARY,1653.0
643,battelle,MILITARY,1351.0
644,boecore,MILITARY,1098.0
645,boeing,MILITARY,231074.0
646,cobham,MILITARY,1227.0
647,dsei,MILITARY,
648,embraer,MILITARY,8931.0
649,esw,MILITARY,5200.0
650,honeywell,MILITARY,9883.0
651,iai,MILITARY,29898.0
652,mbda,MILITARY,
653,mtu,MILITARY,237400.0
654,oshkosh,MILITARY,330.0
655,rafael,MILITARY,
656,raytheon,MILITARY,139831.0
657,revision,MILITARY,
658,skedco,MILITARY,3241.0
659,snc,MILITARY,
660,src,MILITARY,
661,textron,MILITARY,137134.0
662,aaladin,POWER_TOOLS,1870.0
663,accuquilt,POWER_TOOLS,1376.0
664,acdelco,POWER_TOOLS,21203.0
665,acradyne,POWER_TOOLS,4649.0
666,aircat,POWER_TOOLS,156895.0
667,airvantage,POWER_TOOLS,80172.0
668,alemite,POWER_TOOLS,25444.0
669,armorthane,POWER_TOOLS,13781.0
670,armstrong,POWER_TOOLS,13502.0
671,arrow,POWER_TOOLS,387.0
672,aven,POWER_TOOLS,7668.0
673,bartell,POWER_TOOLS,9615.0
674,bernzomatic,POWER_TOOLS,5651.0
675,bessey,POWER_TOOLS,
676,bikemaster,POWER_TOOLS,
677,biteharder,POWER_TOOLS,1014.0
678,bosch,POWER_TOOLS,171289.0
679,bostitch,POWER_TOOLS,371.0
680,bowclamp,POWER_TOOLS,44100.0
681,bowtie,POWER_TOOLS,646.0
682,bristol,POWER_TOOLS,1029.0
683,central,POWER_TOOLS,22265.0
684,channellock,POWER_TOOLS,5610899.0
685,cleco,POWER_TOOLS,3163.0
686,cmt,POWER_TOOLS,44100.0
687,craftsman,POWER_TOOLS,2650625.0
688,crescent,POWER_TOOLS,227760.0
689,daetwyler,POWER_TOOLS,6400.0
690,deckwise,POWER_TOOLS,12476.0
691,delta,POWER_TOOLS,176512.0
692,dentfix,POWER_TOOLS,175655.0
693,detro,POWER_TOOLS,8351.0
694,dewalt,POWER_TOOLS,542821.0
695,diablo,POWER_TOOLS,51916.0
696,dowelmax,POWER_TOOLS,168225.0
697,dr,POWER_TOOLS,66143.0
698,dremel,POWER_TOOLS,39943.0
699,duragrit,POWER_TOOLS,
700,dynablast,POWER_TOOLS,5020.0
701,dynabrade,POWER_TOOLS,2924.0
702,eastwood,POWER_TOOLS,433215.0
703,echo,POWER_TOOLS,11760.0
704,edco,POWER_TOOLS,63902.0
705,equalizer,POWER_TOOLS,16301.0
706,ernst,POWER_TOOLS,95418.0
707,estwing,POWER_TOOLS,2572.0
708,eversharp,POWER_TOOLS,142.0
709,exair,POWER_TOOLS,25063.0
710,ezwoodshop,POWER_TOOLS,
711,festool,POWER_TOOLS,963656.0
712,fieldpiece,POWER_TOOLS,1248.0
713,fiskars,POWER_TOOLS,171.0
714,flexisander,POWER_TOOLS,
715,forrest,POWER_TOOLS,199122.0
