,BRAND,DOLS,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
167,korres,197.0,COSMETICS,0,0,0,1,0,2,2,1,1,0,6,1,0,0,1,1
168,lancome,660261.0,COSMETICS,0,0,0,0,0,3,3,0,0,1,7,0,0,1,1,1
169,lorac,1648192.0,COSMETICS,0,0,0,0,0,2,2,0,0,0,5,0,0,1,0,1
170,lotus,,COSMETICS,0,0,0,1,0,1,2,0,1,0,5,1,0,1,0,2
171,lubriderm,36738.0,COSMETICS,0,0,1,0,0,4,3,0,2,0,9,0,0,1,2,1
172,lush,106.0,COSMETICS,0,0,0,1,0,1,1,0,0,0,4,1,0,1,0,1
173,lyrei,1972.0,COSMETICS,0,0,0,0,0,3,2,0,0,1,5,0,0,1,1,0
174,mac,15041.0,COSMETICS,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0
175,manhattan,,COSMETICS,0,0,1,0,0,3,3,0,2,0,9,0,0,1,0,0
176,mark,352.0,COSMETICS,0,1,0,0,0,2,1,0,1,0,4,0,0,1,0,0
177,milani,34729.0,COSMETICS,0,0,0,0,0,3,3,0,0,1,6,0,0,1,2,0
178,monteil,4191.0,COSMETICS,0,0,1,0,0,3,3,0,1,0,7,0,0,1,1,1
179,mychelle,,COSMETICS,0,0,0,0,0,4,2,0,0,1,8,1,0,1,2,0
180,nars,1597.0,COSMETICS,0,0,0,1,0,2,1,0,0,0,4,1,0,1,0,0
181,natura,2488.0,COSMETICS,1,0,0,0,0,2,3,0,1,1,6,0,0,1,0,1
182,neova,65.0,COSMETICS,1,0,0,0,0,1,3,0,0,1,5,1,0,1,1,1
183,neutrogena,633859.0,COSMETICS,1,0,0,0,0,3,5,0,2,1,10,0,0,1,2,2
184,nexacell,48.0,COSMETICS,0,0,1,0,0,3,3,0,0,0,8,0,0,1,2,0
185,note,216.0,COSMETICS,0,0,0,0,0,1,2,0,1,1,4,0,0,1,1,1
186,novalash,184360.0,COSMETICS,0,0,0,1,0,2,3,0,0,0,8,2,0,1,0,1
187,nyx,24149.0,COSMETICS,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0
188,ofra,1253.0,COSMETICS,1,0,0,0,0,1,2,0,0,1,4,1,1,0,0,1
189,olay,2304438.0,COSMETICS,0,0,0,0,0,2,2,0,0,1,4,0,1,0,1,1
190,omorovicza,106.0,COSMETICS,1,0,0,0,0,2,5,0,0,1,10,2,1,0,1,3
191,oribe,9001.0,COSMETICS,0,0,0,0,0,1,3,0,1,1,5,0,1,0,2,1
192,origins,6824.0,COSMETICS,0,0,0,1,0,2,3,0,1,0,7,1,1,0,2,1
193,orlane,1884.0,COSMETICS,0,0,0,0,0,3,3,0,0,1,6,0,1,0,1,1
194,physicians,23534.0,COSMETICS,0,0,0,1,0,2,3,1,1,0,10,2,0,0,2,0
195,plumderma,18467.0,COSMETICS,1,0,0,0,0,4,3,1,2,1,9,0,0,0,1,1
196,prescriptives,575.0,COSMETICS,0,0,0,1,0,2,4,1,3,0,13,3,0,0,4,0
197,proskin,8346.0,COSMETICS,0,0,1,0,0,2,2,1,2,0,7,1,0,0,1,1
198,renaissance,5534.0,COSMETICS,0,0,0,0,0,3,5,0,0,1,11,2,0,1,3,0
199,repechage,7501.0,COSMETICS,0,0,0,0,0,1,4,0,2,1,9,1,0,1,3,0
200,revlon,7005277.0,COSMETICS,0,0,1,0,0,3,2,0,0,0,6,1,0,1,1,1
201,rimmel,29041.0,COSMETICS,0,0,1,0,0,4,2,0,0,0,6,0,0,1,2,0
202,sarantis,11767.0,COSMETICS,0,0,0,1,1,2,3,0,1,0,8,2,0,0,1,0
203,shiseido,687890.0,COSMETICS,0,0,0,0,1,0,4,0,1,1,8,2,0,0,2,1
204,sidasta,3633.0,COSMETICS,1,0,0,0,1,0,3,0,2,1,7,2,0,0,1,0
205,skinnight,2295.0,COSMETICS,0,1,0,0,1,2,2,0,3,0,9,1,0,0,2,0
206,smashbox,278689.0,COSMETICS,0,0,0,0,1,1,2,0,1,0,8,2,0,0,0,1
207,stila,,COSMETICS,1,0,0,0,1,1,2,0,1,1,5,1,0,0,1,0
208,stowaway,16768.0,COSMETICS,0,0,0,0,1,3,3,0,1,1,8,1,0,0,1,1
209,taras,88339.0,COSMETICS,0,0,0,1,0,1,2,1,1,0,5,1,0,0,0,0
210,tarte,4632.0,COSMETICS,0,0,0,0,0,1,2,1,2,1,5,0,0,0,1,0
211,trestique,,COSMETICS,0,0,0,0,0,1,4,1,2,1,9,1,0,0,3,1
212,tribetats,107.0,COSMETICS,0,0,0,1,0,1,3,1,4,0,9,1,0,0,2,0
213,tritats,1123.0,COSMETICS,0,0,0,1,0,1,2,1,3,0,7,1,0,0,1,0
214,trydermavie,310095.0,COSMETICS,0,0,0,0,0,4,4,1,2,1,11,1,0,0,2,0
215,tweezerman,67830.0,COSMETICS,0,0,1,0,0,4,4,1,1,0,10,1,0,0,2,0
216,tyra,354313.0,COSMETICS,1,0,0,0,0,2,1,1,1,1,4,0,0,0,0,0
217,ulta,1971054.0,COSMETICS,1,0,0,0,0,1,2,0,1,1,4,0,1,0,0,1
218,unilever,17558.0,COSMETICS,0,0,1,0,0,3,4,0,0,0,8,1,1,0,3,1
219,vichy,,COSMETICS,0,0,0,0,1,1,1,0,0,1,5,2,0,0,2,0
220,xxv,3343.0,COSMETICS,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0
221,yourbeautyderm,15138.0,COSMETICS,0,0,1,0,0,5,6,0,3,0,14,0,0,1,2,2
222,yuni,812.0,COSMETICS,0,0,0,0,0,2,2,0,0,1,4,0,0,1,1,1
223,zenjenskin,1775.0,COSMETICS,0,0,1,0,1,3,3,0,1,0,10,3,0,0,3,0
224,aarp,28462.0,FINANCIAL_SERVICES,0,1,0,0,0,1,2,0,1,0,4,0,1,0,0,0
225,amazon,15650.0,FINANCIAL_SERVICES,0,0,1,0,0,2,3,0,0,0,6,1,1,0,0,1
226,artoken,876.0,FINANCIAL_SERVICES,0,0,1,0,0,2,3,0,2,0,7,0,1,0,1,1
227,bankrate,9988.0,FINANCIAL_SERVICES,0,0,0,0,0,2,3,1,3,1,8,0,0,0,1,0
228,bitconcept,3639.0,FINANCIAL_SERVICES,0,1,0,0,0,1,3,1,4,0,10,0,0,0,2,1
229,bitcosmos,987.0,FINANCIAL_SERVICES,0,0,0,1,0,1,3,1,2,0,9,2,0,0,1,2
230,bitquick,,FINANCIAL_SERVICES,0,1,0,0,0,0,3,1,3,0,8,0,0,0,2,1
231,bitstrades,3248.0,FINANCIAL_SERVICES,0,0,0,1,0,1,3,1,4,0,10,2,0,0,2,0
232,bittank,576.0,FINANCIAL_SERVICES,0,1,0,0,0,1,2,1,4,0,7,0,0,0,1,0
